
# Surface 0 of 1 surfaces

# Curve title: "'jone_physicsxe_gnu_radn.gnu' using ($3):($4):($5 <= 1 ? 1/0 :$5)"

# Contour 0, label:  2.2e+05
 3.22224 -0.264732  180000 
 3.22829 -0.260872  180000 
 3.23364 -0.256713  180000 


# Contour 3, label:  1.6e+05
 3.32664  0.76247  160000 
 3.31927  0.77078  160000 
 3.31148  0.778827  160000 
 3.30282  0.786997  160000 
 3.29288  0.795673  160000 
 3.28138  0.80512  160000 
 3.26869  0.815116  160000 
 3.25532  0.82532  160000 
 3.24178  0.835389  160000 
 3.22858  0.844983  160000 
 3.21617  0.853808  160000 
 3.20471  0.861772  160000 
 3.19427  0.86883  160000 
 3.18494  0.874939  160000 
 3.17682  0.880055  160000 
 3.16984  0.88419  160000 
 3.16347  0.887577  160000 
 3.15701  0.890507  160000 
 3.14977  0.89327  160000 
 3.14108  0.896155  160000 
 3.13043  0.899372  160000 
 3.11807  0.902807  160000 
 3.10443  0.906266  160000 
 3.08993  0.909555  160000 
 3.075  0.912481  160000 
 3.06  0.91488  160000 
 3.045  0.916709  160000 
 3.03  0.917956  160000 
 3.015  0.91861  160000 
 3  0.918658  160000 
 2.985  0.91809  160000 
 2.97  0.9169  160000 
 2.955  0.915082  160000 
 2.94  0.912631  160000 
 2.925  0.909543  160000 
 2.91009  0.905864  160000 
 2.89574  0.901849  160000 
 2.88251  0.897806  160000 
 2.87095  0.894042  160000 
 2.86161  0.890862  160000 
 2.85479  0.88843  160000 
 2.84969  0.886323  160000 
 2.84523  0.883978  160000 
 2.84034  0.880828  160000 
 2.83395  0.876307  160000 

 2.89955 -0.391205  160000 
 2.91265 -0.393856  160000 
 2.92651 -0.396187  160000 
 2.94077 -0.398018  160000 
 2.95533 -0.399302  160000 
 2.9701 -0.400024  160000 
 2.98501 -0.400169  160000 
 3 -0.399722  160000 
 3.01494 -0.398693  160000 
 3.0295 -0.397191  160000 
 3.0433 -0.395352  160000 
 3.05597 -0.39331  160000 
 3.06713 -0.391199  160000 
 3.07655 -0.389112  160000 
 3.08462 -0.386973  160000 
 3.09187 -0.384661  160000 
 3.09882 -0.382058  160000 
 3.10602 -0.379045  160000 
 3.11392 -0.375508  160000 
 3.12267 -0.371348  160000 
 3.13232 -0.366472  160000 
 3.14295 -0.360787  160000 
 3.15463 -0.3542  160000 
 3.16737 -0.346655  160000 
 3.18097 -0.338249  160000 
 3.19518 -0.329116  160000 
 3.20977 -0.319391  160000 
 3.22448 -0.309209  160000 
 3.23902 -0.298762  160000 
 3.25291 -0.288476  160000 
 3.26563 -0.278835  160000 
 3.27664 -0.270322  160000 
 3.28543 -0.263422  160000 
 3.29174 -0.258341  160000 
 3.29643 -0.254185  160000 
 3.30061 -0.249781  160000 
 3.30542 -0.243956  160000 
 3.31198 -0.235538  160000 
 3.32106 -0.223772  160000 
 3.33196 -0.20957  160000 
 3.34365 -0.194263  160000 
 3.35507 -0.17918  160000 
 3.36518 -0.16565  160000 
 3.37325 -0.154559  160000 
 3.37977 -0.14502  160000 
 3.38557 -0.135702  160000 
 3.39145 -0.125271  160000 
 3.39823 -0.112398  160000 
 3.40645 -0.0962484  160000 
 3.4156 -0.0779849  160000 
 3.42487 -0.0592678  160000 
 3.43348 -0.0417573  160000 
 3.44064 -0.027114  160000 
 3.44579 -0.0164108  160000 
 3.44936 -0.00837064  160000 
 3.45204 -0.00112899  160000 
 3.4545  0.00717865  160000 
 3.45741  0.0184168  160000 
 3.46127  0.0339794  160000 
 3.46589  0.053378  160000 
 3.47093  0.0756537  160000 
 3.47602  0.0998473  160000 
 3.4808  0.125  160000 
 3.48498  0.150312  160000 
 3.48846  0.175625  160000 
 3.49122  0.200937  160000 
 3.49323  0.22625  160000 
 3.49445  0.251562  160000 
 3.49486  0.276875  160000 
 3.49448  0.302187  160000 
 3.49333  0.3275  160000 
 3.49142  0.352812  160000 
 3.48877  0.378125  160000 
 3.48543  0.403337  160000 
 3.48157  0.427942  160000 
 3.47738  0.451336  160000 
 3.47305  0.472913  160000 
 3.46878  0.492066  160000 
 3.4647  0.508425  160000 
 3.46068  0.52256  160000 
 3.45653  0.535275  160000 
 3.45207  0.547377  160000 
 3.4471  0.559669  160000 
 3.44148  0.572778  160000 
 3.43527  0.586611  160000 
 3.42856  0.600895  160000 
 3.42146  0.61536  160000 
 3.41408  0.629732  160000 
 3.40648  0.643789  160000 
 3.39872  0.6575  160000 
 3.39079  0.670886  160000 
 3.38272  0.683966  160000 
 3.37452  0.696759  160000 
 3.36622  0.709256  160000 
 3.35791  0.721333  160000 
 3.3497  0.732837  160000 
 3.3417  0.743615  160000 
 3.334  0.753514  160000 
 3.32664  0.76247  160000 

 2.83395  0.876307  160000 
 2.82524  0.869981  160000 
